iter	Accuracy	Logloss
0	0.9991161616	0.4147941584
1	0.9991161616	0.2502680382
2	0.9991161616	0.1507041962
3	0.9991161616	0.09503648222
4	0.9991161616	0.05668323207
5	0.9991161616	0.03370516629
6	0.9991161616	0.02102757725
7	0.9991161616	0.01394652411
8	0.9991161616	0.009435523455
9	0.9992424242	0.006607799158
10	0.9994949495	0.004877260257
11	0.9996212121	0.003685203951
12	0.9998737374	0.002952695363
13	1	0.002314155396
14	1	0.001858451956
15	1	0.001533090192
16	1	0.00130336786
17	1	0.001107402856
18	1	0.0009575193542
19	1	0.000822951853
20	1	0.0007137075143
21	1	0.0006314846215
22	1	0.0005562842943
23	1	0.0005004192603
24	1	0.0004444267439
25	1	0.0004044611985
26	1	0.0003838406401
27	1	0.0003528559445
28	1	0.000323598778
29	1	0.0002978253256
30	1	0.0002978005155
31	1	0.0002977910971
32	1	0.0002977875483
33	1	0.0002977869215
34	1	0.0002977869215
35	1	0.0002977782685
36	1	0.0002751722711
37	1	0.0002751617699
38	1	0.0002751603834
39	1	0.0002534510233
40	1	0.0002534457613
41	1	0.0002534360662
42	1	0.0002534239263
43	1	0.0002534191596
44	1	0.0002534181368
45	1	0.0002533997524
46	1	0.0002533997524
47	1	0.000253391212
48	1	0.000253391212
49	1	0.0002533865599
50	1	0.0002533814807
51	1	0.0002533770263
