iter	Passed	Remaining
0	47	23532
1	90	22610
2	133	22188
3	178	22187
4	220	21855
5	265	21847
6	311	21967
7	357	21976
8	400	21832
9	443	21713
10	488	21720
11	534	21716
12	579	21717
13	626	21762
14	673	21778
15	720	21801
16	768	21839
17	815	21845
18	862	21823
19	907	21771
20	950	21670
21	993	21581
22	1036	21497
23	1079	21408
24	1121	21317
25	1163	21218
26	1205	21116
27	1248	21042
28	1293	21001
29	1337	20960
30	1380	20888
31	1423	20821
32	1466	20746
33	1508	20673
34	1551	20609
35	1594	20552
36	1637	20496
37	1683	20471
38	1726	20413
39	1772	20379
40	1816	20333
41	1859	20274
42	1903	20225
43	1945	20159
44	1989	20114
45	2034	20084
46	2078	20030
47	2121	19975
48	2164	19919
49	2207	19864
50	2248	19799
51	2291	19744
